LongName,Name,isLST,Long Description
ASU,ASU,y,"Astronomical Institute of the Czech Academy of Sciences, Bocni II 1401 - 14100 Prague, Czech Republic"
Universidad del Azuay, U Azuay,n,"Faculty of Science and Technology, Universidad del Azuay, Cuenca, Ecuador."
CBPF,CBPF,y,"Centro Brasileiro de Pesquisas Físicas, Rua Xavier Sigaud 150, RJ 22290-180, Rio de Janeiro, Brazil"
U Chiba,U Chiba,y,"Chiba University, 1-33, Yayoicho, Inage-ku, Chiba-shi, Chiba, 263-8522 Japan"
CIEMAT,CIEMAT,y,"CIEMAT, Avda. Complutense 40, 28040 Madrid, Spain"
CIEMAT-PIC,CIEMAT-PIC,y,"Port d'Informació Científica, Edifici D, Carrer de l'Albareda, 08193 Bellaterrra (Cerdanyola del Vallès), Spain"
"Department of Physics and Astronomy, Clemson University, Kinard Lab of Physics",CLEMSON,n,"Department of Physics and Astronomy, Clemson University, Kinard Lab of Physics, Clemson, SC 29634, USA"
"CPPM, CNRS-IN2P3, Aix-Marseille Université",CPPM,y,"Aix Marseille Univ, CNRS/IN2P3, CPPM, Marseille, France"
U Prague,U Prague,y,"Charles University, Institute of Particle and Nuclear Physics, V Holešovičkách 2, 180 00 Prague 8, Czech Republic"
Dipartimento di Fisica e Chimica 'E. Segrè' Università degli Studi di Palermo,U Palermo - DF,n,"Dipartimento di Fisica e Chimica 'E. Segrè' Università degli Studi di Palermo, via delle Scienze, 90128 Palermo"
Dipartimento di Fisica - Universitá degli Studi di Torino,U Torino - DF,n,"Dipartimento di Fisica - Universitá degli Studi di Torino, Via Pietro Giuria 1 - 10125 Torino, Italy"
U Bologna,U Bologna - DF,n,"Dipartimento di Fisica e Astronomia (DIFA) Augusto Righi, Università di Bologna, via Gobetti 93/2, I-40129 Bologna, Italy"
"U Kyoto, Physics and Astronomy","U Kyoto, Physics and Astronomy",y,"Division of Physics and Astronomy, Graduate School of Science, Kyoto University, Sakyo-ku, Kyoto, 606-8502, Japan"
U Konan,U Konan,y,"Department of Physics, Konan University, 8-9-1 Okamoto, Higashinada-ku Kobe 658-8501, Japan"
U Aoyama-Gakuin,U Aoyama-Gakuin,y,"Department of Physical Sciences, Aoyama Gakuin University, Fuchinobe, Sagamihara, Kanagawa, 252-5258, Japan"
U Tokai,U Tokai,y,"Department of Physics, Tokai University, 4-1-1, Kita-Kaname, Hiratsuka, Kanagawa 259-1292, Japan"
U Yamagata,U Yamagata,y,"Department of Physics, Yamagata University, 1-4-12 Kojirakawa-machi, Yamagata-shi, 990-8560, Japan"
Ecole Polytechnique Federale,EPFL,y,"Laboratory for High Energy Physics, École Polytechnique Fédérale, CH-1015 Lausanne, Switzerland"
FESB,FESB,y,"University of Split, FESB, R. Boškovića 32, 21000 Split, Croatia"
U Waseda,U Waseda,y,"Faculty of Science and Engineering, Waseda University, 3 Chome-4-1 Okubo, Shinjuku City, Tokyo 169-0072, Japan"
U Ibaraki,U Ibaraki,y,"Faculty of Science, Ibaraki University, 2 Chome-1-1 Bunkyo, Mito, Ibaraki 310-0056, Japan"
FZU,FZU,y,"FZU - Institute of Physics of the Czech Academy of Sciences, Na Slovance 1999/2, 182 21 Praha 8, Czech Republic"
Gifu U,U Gifu,y,"Gifu University, Faculty of Engineering, 1-1 Yanagido, Gifu 501-1193, Japan"
U Saitama,U Saitama,y,"Graduate School of Science and Engineering, Saitama University, 255 Simo-Ohkubo, Sakura-ku, Saitama city, Saitama 338-8570, Japan"
"U Tokyo, GSS","U Tokyo, GSS",y,"Graduate School of Science, University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-0033, Japan"
U Tokushima,U Tokushima,y,"Graduate School of Technology, Industrial and Social Sciences, Tokushima University, 2-1 Minamijosanjima,Tokushima, 770-8506, Japan"
U Hiroshima (HASC),U Hiroshima,y,"Hiroshima Astrophysical Science Center, Hiroshima University 1-3-1 Kagamiyama, Higashi-Hiroshima, Hiroshima 739-8526, Japan"
"IAA, Granada","IAA, Granada",y,"Instituto de Astrofísica de Andalucía-CSIC, Glorieta de la Astronomía s/n, 18008, Granada, Spain"
IAC,IAC,y,"Instituto de Astrofísica de Canarias and Departamento de Astrofísica, Universidad de La Laguna, C. Vía Láctea, s/n, 38205 La Laguna, Santa Cruz de Tenerife, Spain"
"FSLAC IRL 2009, CNRS/IAC",IAC-CNRS,n,"FSLAC IRL 2009, CNRS/IAC, La Laguna, Tenerife, Spain"
IAPS Rome,IAPS Roma,y,"INAF - Istituto di Astrofisica e Planetologia Spaziali (IAPS), Via del Fosso del Cavaliere 100, 00133 Roma, Italy"
"Institute for Cosmic Ray Research, University of Tokyo","U Tokyo, ICRR",y,"Institute for Cosmic Ray Research, University of Tokyo, 5-1-5, Kashiwa-no-ha, Kashiwa, Chiba 277-8582, Japan"
ICE-CSIC,ICE-CSIC,y,"Institute of Space Sciences (ICE, CSIC), and Institut d'Estudis Espacials de Catalunya (IEEC), and Institució Catalana de Recerca I Estudis Avançats (ICREA), Campus UAB, Carrer de Can Magrans, s/n 08193 Bellatera, Spain"
IFAE-BIST,IFAE-BIST,y,"Institut de Fisica d'Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra (Barcelona), Spain"
LST,LST,y,"Institut de Fisica d'Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra (Barcelona), Spain"
"ILANCE, CNRS","ILANCE, CNRS",n,"ILANCE, CNRS – University of Tokyo International Research Laboratory, University of Tokyo, 5-1-5 Kashiwa-no-Ha Kashiwa City, Chiba 277-8582, Japan"
INFN Pisa,INFN Pisa,y,"INFN Sezione di Pisa, Edificio C – Polo Fibonacci, Largo Bruno Pontecorvo 3, 56127 Pisa"
INFN Dipartimento di Scienze Fisiche e Chimiche,INFN l'Aquila,y,"INFN Dipartimento di Scienze Fisiche e Chimiche - Università degli Studi dell'Aquila and Gran Sasso Science Institute, Via Vetoio 1, Viale Crispi 7, 67100 L'Aquila, Italy"
INFN Bari,INFN Bari,y,"INFN Sezione di Bari, via Orabona 4, 70125, Bari, Italy"
Politecnico e INFN Bari,Politecnico and INFN Bari,n,"INFN Sezione di Bari and Politecnico di Bari, via Orabona 4, 70124 Bari, Italy"
Università Bari e INFN Bari,U and INFN Bari,n,"INFN Sezione di Bari and Università di Bari, via Orabona 4, 70126 Bari, Italy"
INFN Catania,INFN Catania,y,"INFN Sezione di Catania, Via S. Sofia 64, 95123 Catania, Italy"
INFN Napoli,INFN Napoli,y,"INFN Sezione di Napoli, Via Cintia, ed. G, 80126 Napoli, Italy"
Università Padova and INFN,INFN Padova,y,"INFN Sezione di Padova and Università degli Studi di Padova, Via Marzolo 8, 35131 Padova, Italy"
INFN Roma La Sapienza,INFN Roma La Sapienza,y,"INFN Sezione di Roma La Sapienza, P.le Aldo Moro, 2 - 00185 Rome, Italy"
INFN Roma Tor Vergata,INFN Roma Tor Vergata,y,"INFN Sezione di Roma Tor Vergata, Via della Ricerca Scientifica 1, 00133 Rome, Italy"
INFN Torino,INFN Torino,y,"INFN Sezione di Torino, Via P. Giuria 1, 10125 Torino, Italy"
Università Trieste and INFN Trieste,"INFN Trieste, U Trieste",y,"INFN Sezione di Trieste and Università degli Studi di Trieste, Via Valerio 2 I, 34127 Trieste, Italy"
Università Udine and INFN Trieste,"INFN Trieste, U Udine",y,"INFN Sezione di Trieste and Università degli studi di Udine, via delle scienze 206, 33100 Udine, Italy"
Università Siena and INFN,INFN Siena,y,"INFN and Università degli Studi di Siena, Dipartimento di Scienze Fisiche, della Terra e dell'Ambiente (DSFTA), Sezione di Fisica, Via Roma 56, 53100 Siena, Italy"
"INRNE, BAS","INRNE, BAS",y,"Institute for Nuclear Research and Nuclear Energy, Bulgarian Academy of Sciences, 72 boul. Tsarigradsko chaussee, 1784 Sofia, Bulgaria"
IRFU,IRFU,y,"IRFU, CEA, Université Paris-Saclay, Bât 141, 91191 Gif-sur-Yvette, France"
IPNS KEK,KEK,y,"Institute of Particle and Nuclear Studies, KEK (High Energy Accelerator Research Organization), 1-1 Oho, Tsukuba, 305-0801, Japan"
"Kobayashi-Maskawa Institute (KMI) for the Origin of Particles and the Universe, Nagoya University",KMI,n,"Kobayashi-Maskawa Institute (KMI) for the Origin of Particles and the Universe, Nagoya University, Chikusa-ku, Nagoya 464-8602, Japan"
"LAPP, Univ. Grenoble Alpes, Univ. Savoie Mont Blanc, CNRS-IN2P3, Annecy",LAPP,y,"Univ. Savoie Mont Blanc, CNRS, Laboratoire d'Annecy de Physique des Particules - IN2P3, 74000 Annecy, France"
U Lódź,U Lódź,y,"Faculty of Physics and Applied Informatics, University of Lodz, ul. Pomorska 149-153, 90-236 Lodz, Poland"
Max-Planck-Institut für Physik,MPP,y,"Max-Planck-Institut für Physik, Boltzmannstraße 8, 85748 Garching bei München"
OAS Bologna,OAS Bologna,y,"INAF - Osservatorio di Astrofisica e Scienza dello spazio di Bologna, Via Piero Gobetti 93/3, 40129 Bologna, Italy"
OA Brera,"OA Brera",y,"INAF - Osservatorio Astronomico di Brera, Via Brera 28, 20121 Milano, Italy"
OA Roma,OA Roma,y,"INAF - Osservatorio Astronomico di Roma, Via di Frascati 33, 00040, Monteporzio Catone, Italy"
RIKEN,RIKEN,y,"RIKEN, Institute of Physical and Chemical Research, 2-1 Hirosawa, Wako, Saitama, 351-0198, Japan"
RUB,RUB,y,"Institut für Theoretische Physik, Lehrstuhl IV: Plasma-Astroteilchenphysik, Ruhr-Universität Bochum, Universitätsstraße 150, 44801 Bochum, Germany"
CEA,CEA,n,"Université Paris-Saclay, Université Paris Cité, CEA, CNRS, AIM, F-91191 Gif-sur-Yvette Cedex, France"
NIT Sendai College,NIT Sendai College,y,"Sendai College, National Institute of Technology, 4-16-1 Ayashi-Chuo, Aoba-ku, Sendai city, Miyagi 989-3128, Japan"
Saha Institute,Saha Institute,y,"Saha Institute of Nuclear Physics, Sector 1, AF Block, Bidhan Nagar, Bidhannagar, Kolkata, West Bengal 700064, India"
"Sorbonne Université, CNRS/IN2P3, Laboratoire de Physique Nucléaire et de Hautes Energies","U Sorbonne, LPNHE",y,"Sorbonne Université, CNRS/IN2P3, Laboratoire de Physique Nucléaire et de Hautes Energies, LPNHE, 4 place Jussieu, 75005 Paris, France"
"Department of Physics, TU Dortmund University",TU Dortmund - DP,n,"Department of Physics, TU Dortmund University, Otto-Hahn-Str. 4, 44227 Dortmund, Germany"
TU Dortmund,TU Dortmund,y,"Department of Physics, TU Dortmund University, Otto-Hahn-Str. 4, 44227 Dortmund, Germany"
TU Dortmund - Lamarr Institute,TU Dortmund - AI,n,"Lamarr Institute for Machine Learning and Artificial Intelligence, 44227 Dortmund, Germany"
U Turku,U Turku,n,"Department of Physics and Astronomy, University of Turku, Finland, FI-20014 University of Turku, Finland"
